Day,Sales,Trading Profit,Operating Expense,Net Profit
11,2620498,-1076526,807188,-1880632
12,4219012,-446105,844579,-1289657
13,5339014,367803,1058009,-688151
14,5639092,611443,1099028,-485530
15,7447470,2355026,1140119,1216962
16,7582677,2433707,1183210,1252552
17,7770301,2478569,1226373,1254251
18,8093580,932621,1357896,-423220
19,8272719,-78451,1457310,-1531651
20,8410074,-951146,1500528,-2447564
21,10838785,830216,1558880,-725068
22,12655066,2403754,1615393,789902
23,12931924,21644,2700278,-2675552
24,14613068,1623236,2797918,-1171086
25,14827626,1758273,2828834,-1066451
26,15043963,1874067,2871206,-993029
27,15232411,1972720,2957129,-980299
28,18553798,2941097,3157024,-215927
29,18756829,3090045,3230294,-137167
30,18957950,2212709,3354408,-1138617
31,19161929,2347167,3400362,-1050113
32,19357038,2471549,3459894,-985263
33,23102972,6042402,3534416,2507986
34,23585439,5018446,3670652,1348821
35,25613345,6853441,3732082,3122386
36,25810863,6981457,3790699,3191785
37,26007467,6656774,4282621,2376721
38,26231507,6785992,4324764,2462769
39,28610055,9073257,4404341,4668916
40,28804280,9198596,4461749,4736847
41,29031887,9311900,4520247,4791653
42,29251397,9456187,4563641,4892546
43,29456118,9577880,4605174,4972706
44,30739156,10420788,4646866,5773922
45,31704553,11069349,4688408,6380941
46,31874208,11145294,4745574,6399720
47,32121885,11307153,4787589,6519564
48,32344517,11444843,4871944,6572899
49,32752705,11278816,4963655,6315161
50,32985160,11381305,5007727,6373578
51,33208160,11512857,5067251,6445606
52,34880286,12787766,5135827,7651939
53,35994034,12797471,5249785,7547686
54,36869054,13018053,5362204,7655849
55,37080587,11960353,5542874,6417479
56,37344624,11491092,5663060,5828032
57,37645125,11718396,5730277,5988119
58,38939668,12903899,5786494,7117405
59,39732108,13321313,5883422,7437891
60,41564792,15057784,5994639,9063145
61,42548435,15705744,6074134,9631610
62,42787922,13477728,6400897,7076831
63,43339394,13493624,6513291,6980333
64,43596816,13659537,6571007,7088530
65,45220934,14828884,6628811,8200073
66,46502394,16005675,6716656,9289019
67,46794661,16181938,6791699,9390239
68,47058987,16348174,6864653,9483521
69,47288047,16491160,6922607,9568553
70,48074121,16666165,7027089,9639076
71,48854321,17123815,7105128,10018687
72,49626503,17602336,7166278,10436058
73,52811194,19992423,7332609,12659814
74,53079436,20170044,7423174,12746870
75,53767155,20736793,7512013,13224780
76,54038162,19066249,7733336,11332913
77,54310017,18655108,7852966,10802142
78,56715109,20957848,8409962,12547886
79,56972003,21116726,8483467,12633259
80,57222077,20154321,8636407,11517914
81,60349505,23192214,8708296,14483918
82,60614662,21307023,8900265,12406758
83,60825593,21422920,8961614,12461306
84,61906372,21855100,9149838,12705262
85,64122972,21597202,9224287,12372915
86,67086998,22654622,9419610,13235012
87,68176130,23624148,9494693,14129455
88,70364532,25671949,9571985,16099964
89,71571900,25309204,9730594,15578610
90,71697480,24995689,9913102,15082587
